NODOS
N61,2290,1017,1
N60,2149,1024,1
N21,150,347,1
N20,2063,254,1
N23,464,486,1
N22,176,641,1
N25,759,469,1
N24,446,333,1
N27,1069,469,1
N26,917,473,1
N29,1634,442,1
N28,1346,461,1
N1,121,91,1
N2,270,59,1
N3,413,28,1
N4,572,28,1
N5,718,32,1
N6,869,24,1
N7,1027,28,1
N8,1173,29,1
N30,1724,523,1
N9,1312,28,1
N32,2090,435,1
N31,1790,446,1
N34,1797,513,1
N33,1657,528,1
N36,478,635,1
N35,336,640,1
N38,930,624,1
N37,778,628,1
N39,1081,614,1
N41,1363,608,1
N40,1222,613,1
N43,1952,591,1
N42,1804,602,1
N45,186,792,1
N44,2252,581,1
N47,658,916,1
N46,509,919,1
N49,959,907,1
N48,789,769,1
N50,1102,897,1
N52,1390,905,1
N51,1255,895,1
N10,1451,9,1
N54,1552,1046,1
N53,1535,897,1
N12,289,196,1
N56,1401,1050,1
N11,134,200,1
N55,1554,1042,1
N14,885,171,1
N58,1999,1028,1
N13,736,167,1
N57,1686,895,1
N16,1189,170,1
N15,1042,176,1
N59,2060,973,1
N18,1618,150,1
N17,1324,163,1
N19,2052,119,1
ARISTAS
